from;to;weight
Platzeck;11;3
Pofalla;5;3
Praetorius;7;3
Tillich;11;3
Hasselfeldt;2;3
Kampeter;2;3
Kapferer;2;3
Kapferer;1;1
Kempf;2;3
Nemat;5;2
Reiche;2;3
Roestel;5;3
Schweitzer;2;3
Schweitzer;5;3
Grothus;8;2
Grothus;2;2
Wodtke;9;2
Wodtke;4;2
Herntier;8;2
Kreuzberg;9;2
Kreuzberg;8;2
Priggen;12;2
Priggen;2;3
Vassiliadis;3;3
Vassiliadis;11;2
Scheidt;3;3
Scheidt;11;2
Scheidt;6;3
Koerzell;3;3
Koerzell;11;2
Kaiser;4;3
Weiger;4;3
Niebert;4;3
Allmendinger;7;3
Matthes;7;2
Schellnhuber;7;3
Niebuhr;7;2
Wehrspohn;7;2
Laemmel;9;1
Lenz;10;1
Miersch;11;1
