id,name,type,sex,party,age
1,Politik,2,NA,NA,NA
2,Verband,2,NA,NA,NA
3,Gewerkschaft,2,NA,NA,NA
4,Umweltschutz,2,NA,NA,NA
5,Industrie,2,NA,NA,NA
6,Energieunternehmen,2,NA,NA,NA
7,Wissenschaft,2,NA,NA,NA
8,Regionalvertreter,2,NA,NA,NA
9,CDU,2,NA,NA,NA
10,CSU,2,NA,NA,NA
11,SPD,2,NA,NA,NA
12,Gruene,2,NA,NA,NA
13,FDP,2,NA,NA,NA
Platzeck,Matthias Platzeck,1,2,11,4
Pofalla,Ronald Pofalla,1,2,9,3
Praetorius,Barbara Praetorius,1,1,NA,NA
Tillich,Stanislaw Tillich,1,2,9,3
Hasselfeldt,Gerda Hasselfeldt,1,1,10,4
Kampeter,Steffen Kampeter,1,2,9,3
Kapferer,Stefan Kapferer,1,2,13,3
Kempf,Dieter Kempf,1,2,NA,4
Nemat,Claudia Nemat,1,1,NA,3
Reiche,Katherina Reiche,1,1,9,2
Roestel,Gunda Roestel,1,1,12,3
Schweitzer,Eric Schweitzer,1,2,NA,3
Grothus,Antje Grothus,1,1,NA,3
Wodtke,Hannelore Wodtke,1,1,9,NA
Herntier,Christine Herntier,1,1,NA,4
Kreuzberg,Michael Kreuzberg,1,2,9,4
Priggen,Reiner Priggen,1,2,12,4
Vassiliadis,Michael Vassiliadis,1,2,11,3
Scheidt,Andreas Scheidt,1,2,11,3
Koerzell,Stefan Koerzell,1,2,11,3
Kaiser,Martin Kaiser,1,2,NA,3
Weiger,Hubert Weiger,1,2,NA,5
Niebert,Kai Niebert,1,2,NA,1
Allmendinger,Jutta Allmendinger,1,1,NA,4
Matthes,Felix Matthes,1,2,NA,4
Schellnhuber,Hans Joachim Schellnhuber,1,2,NA,4
Niebuhr,Annekathrin Niebuhr,1,1,NA,NA
Wehrspohn,Ralf Wehrspohn,1,2,NA,3
Laemmel,Andreas Laemmel,1,2,9,4
Lenz,Andreas Lenz,1,2,10,1
Miersch,Matthias Miersch,1,2,11,3
